Call Date,Custom Grouping,counts
07/23/2010,Medical,558
07/23/2010,Misc Emergency,25
07/23/2010,Rescue,1
07/23/2010,Various Other,8
07/23/2011,Aid Other Agency,5
07/23/2011,Chemical / Electrical,4
07/23/2011,Fire,177
07/23/2011,Medical,487
07/23/2011,Misc Emergency,33
07/23/2011,Rescue,15
07/23/2011,Various Other,3
07/23/2012,Aid Other Agency,8
07/23/2012,Chemical / Electrical,6
07/23/2012,Fire,197
07/23/2012,Medical,431
07/23/2012,Misc Emergency,23
07/23/2012,Rescue,1
07/23/2012,Various Other,14
07/23/2013,Aid Other Agency,8
07/23/2013,Chemical / Electrical,11
07/23/2013,Fire,167
07/23/2013,Medical,448
07/23/2013,Misc Emergency,46
07/23/2013,Rescue,14
07/23/2013,Various Other,5
07/23/2014,Aid Other Agency,10
07/23/2014,Chemical / Electrical,14
07/23/2014,Fire,189
07/23/2014,Medical,562
07/23/2014,Misc Emergency,32
07/23/2014,Rescue,27
07/23/2014,Various Other,14
07/23/2015,Aid Other Agency,12
07/23/2015,Chemical / Electrical,6
07/23/2015,Fire,155
07/23/2015,Medical,557
07/23/2015,Misc Emergency,11
07/23/2015,Rescue,3
07/23/2015,Various Other,10
07/23/2016,Aid Other Agency,18
07/23/2016,Chemical / Electrical,6
07/23/2016,Fire,210
07/23/2016,Medical,488
07/23/2016,Misc Emergency,27
07/23/2016,Rescue,3
07/23/2016,Various Other,6
07/23/2017,Aid Other Agency,7
07/23/2017,Chemical / Electrical,20
07/23/2017,Fire,170
07/23/2017,Medical,545
07/23/2017,Misc Emergency,33
07/23/2017,Rescue,16
07/23/2017,Various Other,11
07/23/2018,Aid Other Agency,16
07/23/2018,Chemical / Electrical,5
07/23/2018,Fire,135
07/23/2018,Medical,527
07/23/2018,Misc Emergency,35
07/23/2018,Rescue,4
07/23/2018,Various Other,9
07/23/2019,Aid Other Agency,16
07/23/2019,Chemical / Electrical,14
07/23/2019,Fire,219
07/23/2019,Medical,555
07/23/2019,Misc Emergency,39
07/23/2019,Rescue,6
07/23/2019,Various Other,5
07/24/2010,Aid Other Agency,13
07/24/2010,Chemical / Electrical,8
07/24/2010,Fire,161
07/24/2010,Medical,480
07/24/2010,Misc Emergency,31
07/24/2010,Various Other,12
07/24/2011,Aid Other Agency,11
07/24/2011,Chemical / Electrical,4
07/24/2011,Fire,173
07/24/2011,Medical,510
07/24/2011,Misc Emergency,14
07/24/2011,Rescue,3
07/24/2011,Various Other,3
07/24/2012,Aid Other Agency,8
07/24/2012,Chemical / Electrical,3
07/24/2012,Fire,225
07/24/2012,Medical,474
07/24/2012,Misc Emergency,43
07/24/2012,Rescue,12
07/24/2012,Various Other,9
07/24/2013,Aid Other Agency,7
07/24/2013,Chemical / Electrical,14
07/24/2013,Fire,190
07/24/2013,Medical,505
07/24/2013,Misc Emergency,30
07/24/2013,Rescue,3
07/24/2013,Various Other,10
07/24/2014,Aid Other Agency,15
07/24/2014,Chemical / Electrical,11
07/24/2014,Fire,142
07/24/2014,Medical,576
07/24/2014,Misc Emergency,31
07/24/2014,Rescue,1
07/24/2014,Various Other,9
07/24/2015,Aid Other Agency,7
07/24/2015,Chemical / Electrical,10
07/24/2015,Fire,219
07/24/2015,Medical,544
07/24/2015,Misc Emergency,41
07/24/2015,Rescue,31
07/24/2015,Various Other,12
07/24/2016,Aid Other Agency,17
07/24/2016,Chemical / Electrical,15
07/24/2016,Fire,166
07/24/2016,Medical,422
07/24/2016,Misc Emergency,27
07/24/2016,Rescue,12
07/24/2016,Various Other,7
07/24/2017,Aid Other Agency,9
07/24/2017,Chemical / Electrical,10
07/24/2017,Fire,181
07/24/2017,Medical,586
07/24/2017,Misc Emergency,58
07/24/2017,Rescue,5
07/24/2017,Various Other,22
07/24/2018,Aid Other Agency,5
07/24/2018,Chemical / Electrical,7
07/24/2018,Fire,161
07/24/2018,Medical,547
07/24/2018,Misc Emergency,35
07/24/2018,Rescue,22
07/24/2018,Various Other,13
07/24/2019,Aid Other Agency,12
07/24/2019,Chemical / Electrical,12
07/24/2019,Fire,214
07/24/2019,Medical,612
07/24/2019,Misc Emergency,39
07/24/2019,Rescue,4
07/24/2019,Various Other,3
07/25/2010,Aid Other Agency,8
07/25/2010,Chemical / Electrical,6
07/25/2010,Fire,143
07/25/2010,Medical,441
07/25/2010,Misc Emergency,28
07/25/2010,Rescue,9
07/25/2010,Various Other,8
07/25/2011,Aid Other Agency,7
07/25/2011,Chemical / Electrical,8
07/25/2011,Fire,178
07/25/2011,Medical,440
07/25/2011,Misc Emergency,17
07/25/2011,Rescue,1
07/25/2011,Various Other,14
07/25/2012,Aid Other Agency,13
07/25/2012,Chemical / Electrical,8
07/25/2012,Fire,207
07/25/2012,Medical,449
07/25/2012,Misc Emergency,51
07/25/2012,Rescue,20
07/25/2012,Various Other,10
07/25/2013,Aid Other Agency,3
07/25/2013,Chemical / Electrical,6
07/25/2013,Fire,214
07/25/2013,Medical,448
07/25/2013,Misc Emergency,21
07/25/2013,Rescue,21
07/25/2013,Various Other,17
07/25/2014,Aid Other Agency,6
07/25/2014,Chemical / Electrical,6
07/25/2014,Fire,173
07/25/2014,Medical,494
07/25/2014,Misc Emergency,53
07/25/2014,Rescue,10
07/25/2014,Various Other,8
07/25/2015,Aid Other Agency,10
07/25/2015,Chemical / Electrical,9
07/25/2015,Fire,192
07/25/2015,Medical,541
07/25/2015,Misc Emergency,32
07/25/2015,Rescue,3
07/25/2015,Various Other,20
07/25/2016,Aid Other Agency,10
07/25/2016,Chemical / Electrical,10
07/25/2016,Fire,171
07/25/2016,Medical,612
07/25/2016,Misc Emergency,45
07/25/2016,Rescue,2
07/25/2016,Various Other,11
07/25/2017,Aid Other Agency,19
07/25/2017,Chemical / Electrical,13
07/25/2017,Fire,145
07/25/2017,Medical,542
07/25/2017,Misc Emergency,29
07/25/2017,Rescue,7
07/25/2017,Various Other,9
07/25/2018,Aid Other Agency,10
07/25/2018,Chemical / Electrical,3
07/25/2018,Fire,203
07/25/2018,Medical,647
07/25/2018,Misc Emergency,29
07/25/2018,Rescue,1
07/25/2018,Various Other,3
07/25/2019,Aid Other Agency,6
07/25/2019,Chemical / Electrical,7
07/25/2019,Fire,152
07/25/2019,Medical,578
07/25/2019,Misc Emergency,49
07/25/2019,Rescue,16
07/25/2019,Various Other,8
07/26/2010,Aid Other Agency,5
07/26/2010,Chemical / Electrical,4
07/26/2010,Fire,193
07/26/2010,Medical,405
07/26/2010,Misc Emergency,16
07/26/2010,Rescue,3
07/26/2010,Various Other,14
07/26/2011,Aid Other Agency,17
07/26/2011,Chemical / Electrical,3
07/26/2011,Fire,149
07/26/2011,Medical,435
07/26/2011,Misc Emergency,19
07/26/2011,Rescue,1
07/26/2011,Various Other,10
07/26/2012,Aid Other Agency,9
07/26/2012,Chemical / Electrical,7
07/26/2012,Fire,172
07/26/2012,Medical,406
07/26/2012,Misc Emergency,24
07/26/2012,Rescue,1
07/26/2012,Various Other,13
07/26/2013,Aid Other Agency,13
07/26/2013,Chemical / Electrical,6
07/26/2013,Fire,143
07/26/2013,Medical,508
07/26/2013,Misc Emergency,29
07/26/2013,Rescue,1
07/26/2013,Various Other,7
07/26/2014,Aid Other Agency,7
07/26/2014,Chemical / Electrical,8
07/26/2014,Fire,217
07/26/2014,Medical,470
07/26/2014,Misc Emergency,21
07/26/2014,Rescue,3
07/26/2014,Various Other,5
07/26/2015,Aid Other Agency,10
07/26/2015,Chemical / Electrical,2
07/26/2015,Fire,186
07/26/2015,Medical,539
07/26/2015,Misc Emergency,34
07/26/2015,Rescue,21
07/26/2015,Various Other,11
07/26/2016,Aid Other Agency,18
07/26/2016,Chemical / Electrical,5
07/26/2016,Fire,141
07/26/2016,Medical,540
07/26/2016,Misc Emergency,33
07/26/2016,Various Other,6
07/26/2017,Aid Other Agency,11
07/26/2017,Chemical / Electrical,10
07/26/2017,Fire,177
07/26/2017,Medical,575
07/26/2017,Misc Emergency,28
07/26/2017,Rescue,2
07/26/2017,Various Other,10
07/26/2018,Aid Other Agency,23
07/26/2018,Chemical / Electrical,20
07/26/2018,Fire,166
07/26/2018,Medical,604
07/26/2018,Misc Emergency,39
07/26/2018,Rescue,4
07/26/2018,Various Other,18
07/26/2019,Aid Other Agency,13
07/26/2019,Chemical / Electrical,17
07/26/2019,Fire,143
07/26/2019,Medical,605
07/26/2019,Misc Emergency,33
07/26/2019,Rescue,2
07/26/2019,Various Other,11
07/27/2010,Aid Other Agency,12
07/27/2010,Chemical / Electrical,7
07/27/2010,Fire,275
07/27/2010,Medical,443
07/27/2010,Misc Emergency,45
07/27/2010,Rescue,16
07/27/2010,Various Other,23
07/27/2011,Aid Other Agency,7
07/27/2011,Chemical / Electrical,1
07/27/2011,Fire,189
07/27/2011,Medical,471
07/27/2011,Misc Emergency,26
07/27/2011,Various Other,10
07/27/2012,Aid Other Agency,15
07/27/2012,Chemical / Electrical,8
07/27/2012,Fire,181
07/27/2012,Medical,422
07/27/2012,Misc Emergency,33
07/27/2012,Rescue,2
07/27/2012,Various Other,6
07/27/2013,Aid Other Agency,8
07/27/2013,Chemical / Electrical,7
07/27/2013,Fire,133
07/27/2013,Medical,411
07/27/2013,Misc Emergency,32
07/27/2013,Various Other,3
07/27/2014,Aid Other Agency,14
07/27/2014,Chemical / Electrical,8
07/27/2014,Fire,173
07/27/2014,Medical,576
07/27/2014,Misc Emergency,46
07/27/2014,Rescue,32
07/27/2014,Various Other,23
07/27/2015,Aid Other Agency,8
07/27/2015,Chemical / Electrical,18
07/27/2015,Fire,133
07/27/2015,Medical,521
07/27/2015,Misc Emergency,38
07/27/2015,Rescue,13
07/27/2015,Various Other,10
07/27/2016,Aid Other Agency,7
07/27/2016,Chemical / Electrical,8
07/27/2016,Fire,194
07/27/2016,Medical,509
07/27/2016,Misc Emergency,44
07/27/2016,Rescue,1
07/27/2016,Various Other,16
07/27/2017,Aid Other Agency,6
07/27/2017,Chemical / Electrical,4
07/27/2017,Fire,138
07/27/2017,Medical,569
07/27/2017,Misc Emergency,26
07/27/2017,Rescue,4
07/27/2017,Various Other,6
07/27/2018,Aid Other Agency,8
07/27/2018,Chemical / Electrical,18
07/27/2018,Fire,167
07/27/2018,Medical,548
07/27/2018,Misc Emergency,29
07/27/2018,Rescue,5
07/27/2018,Various Other,22
07/27/2019,Aid Other Agency,5
07/27/2019,Chemical / Electrical,4
07/27/2019,Fire,193
07/27/2019,Medical,601
07/27/2019,Misc Emergency,29
07/27/2019,Rescue,16
07/27/2019,Various Other,11
07/28/2010,Aid Other Agency,14
07/28/2010,Chemical / Electrical,1
07/28/2010,Fire,150
07/28/2010,Medical,422
07/28/2010,Misc Emergency,52
07/28/2010,Rescue,5
07/28/2010,Various Other,11
07/28/2011,Aid Other Agency,7
07/28/2011,Chemical / Electrical,5
07/28/2011,Fire,230
07/28/2011,Medical,429
07/28/2011,Misc Emergency,37
07/28/2011,Rescue,1
07/28/2011,Various Other,10
07/28/2012,Aid Other Agency,16
07/28/2012,Chemical / Electrical,6
07/28/2012,Fire,127
07/28/2012,Medical,452
07/28/2012,Misc Emergency,39
07/28/2012,Rescue,6
07/28/2012,Various Other,3
07/28/2013,Aid Other Agency,14
07/28/2013,Chemical / Electrical,8
07/28/2013,Fire,212
07/28/2013,Medical,503
07/28/2013,Misc Emergency,16
07/28/2013,Rescue,2
07/28/2013,Various Other,17
07/28/2014,Aid Other Agency,13
07/28/2014,Chemical / Electrical,8
07/28/2014,Fire,231
07/28/2014,Medical,491
07/28/2014,Misc Emergency,56
07/28/2014,Rescue,27
07/28/2014,Various Other,12
07/28/2015,Aid Other Agency,14
07/28/2015,Chemical / Electrical,15
07/28/2015,Fire,194
07/28/2015,Medical,524
07/28/2015,Misc Emergency,40
07/28/2015,Rescue,7
07/28/2015,Various Other,12
07/28/2016,Aid Other Agency,8
07/28/2016,Chemical / Electrical,9
07/28/2016,Fire,235
07/28/2016,Medical,602
07/28/2016,Misc Emergency,38
07/28/2016,Rescue,19
07/28/2016,Various Other,11
07/28/2017,Aid Other Agency,5
07/28/2017,Chemical / Electrical,9
07/28/2017,Fire,227
07/28/2017,Medical,614
07/28/2017,Misc Emergency,31
07/28/2017,Rescue,12
07/28/2017,Various Other,6
07/28/2018,Aid Other Agency,10
07/28/2018,Chemical / Electrical,15
07/28/2018,Fire,192
07/28/2018,Medical,521
07/28/2018,Misc Emergency,22
07/28/2018,Various Other,4
07/28/2019,Aid Other Agency,15
07/28/2019,Chemical / Electrical,11
07/28/2019,Fire,153
07/28/2019,Medical,572
07/28/2019,Misc Emergency,45
07/28/2019,Rescue,3
07/28/2019,Various Other,13
07/29/2010,Aid Other Agency,8
07/29/2010,Chemical / Electrical,1
07/29/2010,Fire,127
07/29/2010,Medical,456
07/29/2010,Misc Emergency,40
07/29/2010,Various Other,9
07/29/2011,Aid Other Agency,10
07/29/2011,Chemical / Electrical,1
07/29/2011,Fire,180
07/29/2011,Medical,431
07/29/2011,Misc Emergency,19
07/29/2011,Rescue,5
07/29/2011,Various Other,9
07/29/2012,Aid Other Agency,6
07/29/2012,Chemical / Electrical,8
07/29/2012,Fire,152
07/29/2012,Medical,427
07/29/2012,Misc Emergency,26
07/29/2012,Various Other,6
07/29/2013,Aid Other Agency,5
07/29/2013,Chemical / Electrical,14
07/29/2013,Fire,203
07/29/2013,Medical,486
07/29/2013,Misc Emergency,23
07/29/2013,Rescue,1
07/29/2013,Various Other,3
07/29/2014,Aid Other Agency,7
07/29/2014,Fire,165
07/29/2014,Medical,446
07/29/2014,Misc Emergency,29
07/29/2014,Various Other,8
07/29/2015,Aid Other Agency,14
07/29/2015,Chemical / Electrical,18
07/29/2015,Fire,180
07/29/2015,Medical,420
07/29/2015,Misc Emergency,47
07/29/2015,Rescue,3
07/29/2015,Various Other,3
07/29/2016,Aid Other Agency,13
07/29/2016,Chemical / Electrical,8
07/29/2016,Fire,194
07/29/2016,Medical,559
07/29/2016,Misc Emergency,32
07/29/2016,Rescue,42
07/29/2016,Various Other,4
07/29/2017,Aid Other Agency,12
07/29/2017,Chemical / Electrical,9
07/29/2017,Fire,170
07/29/2017,Medical,552
07/29/2017,Misc Emergency,17
07/29/2017,Rescue,16
07/29/2017,Various Other,4
07/29/2018,Aid Other Agency,12
07/29/2018,Chemical / Electrical,12
07/29/2018,Fire,154
07/29/2018,Medical,491
07/29/2018,Misc Emergency,23
07/29/2018,Rescue,14
07/29/2018,Various Other,8
07/29/2019,Aid Other Agency,9
07/29/2019,Chemical / Electrical,15
07/29/2019,Fire,127
07/29/2019,Medical,559
07/29/2019,Misc Emergency,49
07/29/2019,Rescue,2
07/29/2019,Various Other,7
07/30/2010,Aid Other Agency,11
07/30/2010,Chemical / Electrical,7
07/30/2010,Fire,187
07/30/2010,Medical,426
07/30/2010,Misc Emergency,34
07/30/2010,Rescue,6
07/30/2010,Various Other,7
07/30/2011,Aid Other Agency,3
07/30/2011,Chemical / Electrical,15
07/30/2011,Fire,153
07/30/2011,Medical,454
07/30/2011,Misc Emergency,29
07/30/2011,Rescue,14
07/30/2011,Various Other,11
07/30/2012,Aid Other Agency,13
07/30/2012,Chemical / Electrical,15
07/30/2012,Fire,179
07/30/2012,Medical,463
07/30/2012,Misc Emergency,32
07/30/2012,Rescue,13
07/30/2012,Various Other,5
07/30/2013,Aid Other Agency,7
07/30/2013,Chemical / Electrical,6
07/30/2013,Fire,218
07/30/2013,Medical,366
07/30/2013,Misc Emergency,27
07/30/2013,Rescue,13
07/30/2013,Various Other,6
07/30/2014,Aid Other Agency,2
07/30/2014,Chemical / Electrical,6
07/30/2014,Fire,207
07/30/2014,Medical,517
07/30/2014,Misc Emergency,21
07/30/2014,Rescue,5
07/30/2014,Various Other,10
07/30/2015,Aid Other Agency,13
07/30/2015,Chemical / Electrical,5
07/30/2015,Fire,199
07/30/2015,Medical,545
07/30/2015,Misc Emergency,26
07/30/2015,Rescue,1
07/30/2015,Various Other,13
07/30/2016,Aid Other Agency,14
07/30/2016,Chemical / Electrical,9
07/30/2016,Fire,206
07/30/2016,Medical,598
07/30/2016,Misc Emergency,28
07/30/2016,Rescue,38
07/30/2016,Various Other,8
07/30/2017,Aid Other Agency,13
07/30/2017,Chemical / Electrical,13
07/30/2017,Fire,219
07/30/2017,Medical,578
07/30/2017,Misc Emergency,17
07/30/2017,Various Other,4
07/30/2018,Aid Other Agency,11
07/30/2018,Chemical / Electrical,11
07/30/2018,Fire,138
07/30/2018,Medical,517
07/30/2018,Misc Emergency,9
07/30/2018,Rescue,1
07/30/2018,Various Other,1
07/30/2019,Aid Other Agency,10
07/30/2019,Chemical / Electrical,11
07/30/2019,Fire,202
07/30/2019,Medical,491
07/30/2019,Misc Emergency,42
07/30/2019,Rescue,20
07/30/2019,Various Other,12
07/31/2010,Aid Other Agency,9
07/31/2010,Chemical / Electrical,5
07/31/2010,Fire,207
07/31/2010,Medical,448
07/31/2010,Misc Emergency,28
07/31/2010,Rescue,1
07/31/2010,Various Other,14
07/31/2011,Aid Other Agency,3
07/31/2011,Chemical / Electrical,9
07/31/2011,Fire,232
07/31/2011,Medical,467
07/31/2011,Misc Emergency,29
07/31/2011,Rescue,9
07/31/2011,Various Other,9
07/31/2012,Aid Other Agency,15
07/31/2012,Chemical / Electrical,8
07/31/2012,Fire,142
07/31/2012,Medical,421
07/31/2012,Misc Emergency,28
07/31/2012,Rescue,4
07/31/2012,Various Other,9
07/31/2013,Aid Other Agency,10
07/31/2013,Chemical / Electrical,9
07/31/2013,Fire,205
07/31/2013,Medical,449
07/31/2013,Misc Emergency,38
07/31/2013,Various Other,11
07/31/2014,Aid Other Agency,12
07/31/2014,Chemical / Electrical,12
07/31/2014,Fire,188
07/31/2014,Medical,437
07/31/2014,Misc Emergency,44
07/31/2014,Various Other,14
07/31/2015,Aid Other Agency,6
07/31/2015,Chemical / Electrical,12
07/31/2015,Fire,203
07/31/2015,Medical,552
07/31/2015,Misc Emergency,42
07/31/2015,Various Other,16
07/31/2016,Aid Other Agency,8
07/31/2016,Chemical / Electrical,1
07/31/2016,Fire,208
07/31/2016,Medical,573
07/31/2016,Misc Emergency,24
07/31/2016,Rescue,5
07/31/2016,Various Other,8
07/31/2017,Aid Other Agency,12
07/31/2017,Chemical / Electrical,7
07/31/2017,Fire,160
07/31/2017,Medical,512
07/31/2017,Misc Emergency,20
07/31/2017,Various Other,13
07/31/2018,Aid Other Agency,11
07/31/2018,Chemical / Electrical,12
07/31/2018,Fire,179
07/31/2018,Medical,504
07/31/2018,Misc Emergency,11
07/31/2018,Various Other,5
07/31/2019,Aid Other Agency,13
07/31/2019,Chemical / Electrical,13
07/31/2019,Fire,144
07/31/2019,Medical,598
07/31/2019,Misc Emergency,15
07/31/2019,Rescue,10
07/31/2019,Various Other,7
08/01/2010,Aid Other Agency,8
08/01/2010,Chemical / Electrical,2
08/01/2010,Fire,142
08/01/2010,Medical,488
08/01/2010,Misc Emergency,45
08/01/2010,Rescue,1
08/01/2010,Various Other,22
08/01/2011,Aid Other Agency,16
08/01/2011,Chemical / Electrical,23
08/01/2011,Fire,156
08/01/2011,Medical,492
08/01/2011,Misc Emergency,29
08/01/2011,Rescue,36
08/01/2011,Various Other,5
08/01/2012,Aid Other Agency,12
08/01/2012,Chemical / Electrical,2
08/01/2012,Fire,240
08/01/2012,Medical,426
08/01/2012,Misc Emergency,37
08/01/2012,Rescue,15
08/01/2012,Various Other,9
08/01/2013,Aid Other Agency,5
08/01/2013,Fire,226
08/01/2013,Medical,433
08/01/2013,Misc Emergency,42
08/01/2013,Rescue,2
08/01/2013,Various Other,5
08/01/2014,Aid Other Agency,5
08/01/2014,Chemical / Electrical,1
08/01/2014,Fire,189
08/01/2014,Medical,522
08/01/2014,Misc Emergency,35
08/01/2014,Rescue,28
08/01/2014,Various Other,55
08/01/2015,Aid Other Agency,14
08/01/2015,Chemical / Electrical,5
08/01/2015,Fire,208
08/01/2015,Medical,557
08/01/2015,Misc Emergency,33
08/01/2015,Rescue,17
08/01/2015,Various Other,7
08/01/2016,Aid Other Agency,14
08/01/2016,Chemical / Electrical,15
08/01/2016,Fire,220
08/01/2016,Medical,563
08/01/2016,Misc Emergency,29
08/01/2016,Rescue,6
08/01/2016,Various Other,16
08/01/2017,Aid Other Agency,8
08/01/2017,Chemical / Electrical,7
08/01/2017,Fire,241
08/01/2017,Medical,593
08/01/2017,Misc Emergency,45
08/01/2017,Rescue,12
08/01/2017,Various Other,7
08/01/2018,Aid Other Agency,11
08/01/2018,Chemical / Electrical,11
08/01/2018,Fire,161
08/01/2018,Medical,519
08/01/2018,Misc Emergency,34
08/01/2018,Rescue,1
08/01/2018,Various Other,9
08/01/2019,Aid Other Agency,12
08/01/2019,Chemical / Electrical,15
08/01/2019,Fire,169
08/01/2019,Medical,615
08/01/2019,Misc Emergency,19
08/01/2019,Various Other,4
08/02/2010,Aid Other Agency,8
08/02/2010,Chemical / Electrical,3
08/02/2010,Fire,141
08/02/2010,Medical,464
08/02/2010,Misc Emergency,14
08/02/2010,Rescue,1
08/02/2010,Various Other,7
08/02/2011,Aid Other Agency,6
08/02/2011,Chemical / Electrical,11
08/02/2011,Fire,172
08/02/2011,Medical,572
08/02/2011,Misc Emergency,52
08/02/2011,Rescue,1
08/02/2011,Various Other,9
08/02/2012,Aid Other Agency,12
08/02/2012,Chemical / Electrical,2
08/02/2012,Fire,209
08/02/2012,Medical,405
08/02/2012,Misc Emergency,56
08/02/2012,Rescue,17
08/02/2012,Various Other,13
08/02/2013,Aid Other Agency,11
08/02/2013,Chemical / Electrical,4
08/02/2013,Fire,183
08/02/2013,Medical,504
08/02/2013,Misc Emergency,33
08/02/2013,Rescue,13
08/02/2013,Various Other,8
08/02/2014,Aid Other Agency,11
08/02/2014,Chemical / Electrical,3
08/02/2014,Fire,146
08/02/2014,Medical,533
08/02/2014,Misc Emergency,49
08/02/2014,Rescue,13
08/02/2014,Various Other,11
08/02/2015,Aid Other Agency,12
08/02/2015,Chemical / Electrical,9
08/02/2015,Fire,144
08/02/2015,Medical,491
08/02/2015,Misc Emergency,20
08/02/2015,Rescue,1
08/02/2015,Various Other,3
08/02/2016,Aid Other Agency,9
08/02/2016,Chemical / Electrical,10
08/02/2016,Fire,176
08/02/2016,Medical,531
08/02/2016,Misc Emergency,61
08/02/2016,Various Other,10
08/02/2017,Aid Other Agency,9
08/02/2017,Chemical / Electrical,10
08/02/2017,Fire,206
08/02/2017,Medical,529
08/02/2017,Misc Emergency,32
08/02/2017,Rescue,2
08/02/2017,Various Other,9
08/02/2018,Aid Other Agency,13
08/02/2018,Chemical / Electrical,13
08/02/2018,Fire,240
08/02/2018,Medical,506
08/02/2018,Misc Emergency,47
08/02/2018,Rescue,16
08/02/2018,Various Other,15
08/02/2019,Aid Other Agency,9
08/02/2019,Chemical / Electrical,4
08/02/2019,Fire,196
08/02/2019,Medical,526
08/02/2019,Misc Emergency,28
08/02/2019,Rescue,12
08/02/2019,Various Other,6
08/03/2010,Aid Other Agency,19
08/03/2010,Chemical / Electrical,5
08/03/2010,Fire,161
08/03/2010,Medical,479
08/03/2010,Misc Emergency,27
08/03/2010,Rescue,17
08/03/2010,Various Other,10
08/03/2011,Aid Other Agency,7
08/03/2011,Chemical / Electrical,4
08/03/2011,Fire,223
08/03/2011,Medical,509
08/03/2011,Misc Emergency,24
08/03/2011,Rescue,16
08/03/2011,Various Other,12
08/03/2012,Aid Other Agency,6
08/03/2012,Chemical / Electrical,18
08/03/2012,Fire,164
08/03/2012,Medical,514
08/03/2012,Misc Emergency,36
08/03/2012,Various Other,8
08/03/2013,Aid Other Agency,8
08/03/2013,Chemical / Electrical,7
08/03/2013,Fire,217
08/03/2013,Medical,602
08/03/2013,Misc Emergency,48
08/03/2013,Rescue,16
08/03/2013,Various Other,7
08/03/2014,Aid Other Agency,9
08/03/2014,Chemical / Electrical,10
08/03/2014,Fire,159
08/03/2014,Medical,487
08/03/2014,Misc Emergency,57
08/03/2014,Rescue,30
08/03/2014,Various Other,7
08/03/2015,Aid Other Agency,7
08/03/2015,Chemical / Electrical,2
08/03/2015,Fire,194
08/03/2015,Medical,574
08/03/2015,Misc Emergency,32
08/03/2015,Rescue,1
08/03/2015,Various Other,13
08/03/2016,Aid Other Agency,9
08/03/2016,Chemical / Electrical,3
08/03/2016,Fire,163
08/03/2016,Medical,567
08/03/2016,Misc Emergency,51
08/03/2016,Rescue,12
08/03/2016,Various Other,4
08/03/2017,Aid Other Agency,13
08/03/2017,Chemical / Electrical,7
08/03/2017,Fire,102
08/03/2017,Medical,652
08/03/2017,Misc Emergency,48
08/03/2017,Rescue,18
08/03/2017,Various Other,13
08/03/2018,Aid Other Agency,8
08/03/2018,Chemical / Electrical,6
08/03/2018,Fire,171
08/03/2018,Medical,622
08/03/2018,Misc Emergency,44
08/03/2018,Rescue,3
08/03/2018,Various Other,10
08/03/2019,Aid Other Agency,4
08/03/2019,Chemical / Electrical,6
08/03/2019,Fire,236
08/03/2019,Medical,592
08/03/2019,Misc Emergency,27
08/03/2019,Rescue,4
08/03/2019,Various Other,26
08/04/2010,Aid Other Agency,6
08/04/2010,Chemical / Electrical,9
08/04/2010,Fire,207
08/04/2010,Medical,434
08/04/2010,Misc Emergency,46
08/04/2010,Rescue,1
08/04/2010,Various Other,13
08/04/2011,Aid Other Agency,14
08/04/2011,Chemical / Electrical,6
08/04/2011,Fire,151
08/04/2011,Medical,573
08/04/2011,Misc Emergency,32
08/04/2011,Rescue,13
08/04/2011,Various Other,11
08/04/2012,Aid Other Agency,12
08/04/2012,Chemical / Electrical,5
08/04/2012,Fire,134
08/04/2012,Medical,400
08/04/2012,Misc Emergency,36
08/04/2012,Rescue,1
08/04/2012,Various Other,7
08/04/2013,Aid Other Agency,9
08/04/2013,Chemical / Electrical,5
08/04/2013,Fire,210
08/04/2013,Medical,509
08/04/2013,Misc Emergency,22
08/04/2013,Rescue,2
08/04/2013,Various Other,9
08/04/2014,Aid Other Agency,18
08/04/2014,Chemical / Electrical,7
08/04/2014,Fire,165
08/04/2014,Medical,518
08/04/2014,Misc Emergency,27
08/04/2014,Rescue,36
08/04/2014,Various Other,7
08/04/2015,Aid Other Agency,14
08/04/2015,Chemical / Electrical,6
08/04/2015,Fire,175
08/04/2015,Medical,583
08/04/2015,Misc Emergency,20
08/04/2015,Rescue,13
08/04/2015,Various Other,18
08/04/2016,Aid Other Agency,10
08/04/2016,Chemical / Electrical,3
08/04/2016,Fire,209
08/04/2016,Medical,559
08/04/2016,Misc Emergency,24
08/04/2016,Rescue,37
08/04/2016,Various Other,12
08/04/2017,Aid Other Agency,7
08/04/2017,Chemical / Electrical,7
08/04/2017,Fire,155
08/04/2017,Medical,580
08/04/2017,Misc Emergency,32
08/04/2017,Rescue,3
08/04/2017,Various Other,21
08/04/2018,Aid Other Agency,15
08/04/2018,Chemical / Electrical,17
08/04/2018,Fire,201
08/04/2018,Medical,566
08/04/2018,Misc Emergency,50
08/04/2018,Rescue,22
08/04/2018,Various Other,22
08/04/2019,Aid Other Agency,5
08/04/2019,Chemical / Electrical,7
08/04/2019,Fire,164
08/04/2019,Medical,626
08/04/2019,Misc Emergency,35
08/04/2019,Rescue,19
08/04/2019,Various Other,7
08/05/2010,Aid Other Agency,1
08/05/2010,Chemical / Electrical,6
08/05/2010,Fire,167
08/05/2010,Medical,380
08/05/2010,Misc Emergency,26
08/05/2010,Rescue,8
08/05/2010,Various Other,9
08/05/2011,Aid Other Agency,7
08/05/2011,Chemical / Electrical,12
08/05/2011,Fire,157
08/05/2011,Medical,545
08/05/2011,Misc Emergency,25
08/05/2011,Rescue,17
08/05/2011,Various Other,7
08/05/2012,Aid Other Agency,10
08/05/2012,Chemical / Electrical,5
08/05/2012,Fire,221
